Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with ramps for CWSN - All management,Schools with ramps for CWSN - Government,Schools with ramps for CWSN - Government aided,Schools with ramps for CWSN - Pvt. unaided,Schools with ramps for CWSN - Others
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,11334,10238,0,1080,16
2021-22,Jharkhand,44855,35840,1175,1559,6281,28803,26482,328,578,1415
2021-22,Karnataka,76450,49679,7110,19650,11,53834,41290,3777,8765,2
2021-22,Kerala,16240,5010,7183,3164,883,12675,4558,6415,1363,339
2021-22,Ladakh,978,838,28,112,0,770,725,6,39,0
2021-22,Lakshadweep,38,38,0,0,0,36,36,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,100824,79711,573,19765,775
2021-22,Maharashtra,109605,65639,24037,19268,661,101637,63278,21895,16065,399
2021-22,Manipur,4617,2889,583,1010,135,2291,1933,165,180,13
2021-22,Meghalaya,14600,7783,4172,2120,525,4436,3465,685,229,57
2021-22,Mizoram,3911,2563,230,1034,84,1732,1543,57,123,9
2021-22,Nagaland,2718,1960,0,757,1,1029,911,0,118,0
2021-22,Odisha,62291,49072,5807,6104,1308,50128,42392,2279,4609,848
2021-22,Puducherry,736,422,33,281,0,481,387,6,88,0
2021-22,Punjab,27701,19259,450,7978,14,24849,18048,333,6454,14
2021-22,Rajasthan,106373,68948,0,34826,2599,69459,51103,0,17950,406
2021-22,Sikkim,1259,864,19,376,0,366,317,3,46,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,43520,33691,5307,4389,133
2021-22,Telangana,43083,30023,700,12193,167,32393,23777,204,8343,69
2021-22,Tripura,4929,4262,43,363,261,3105,2887,27,96,95
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,166323,115655,4595,41471,4602
2021-22,Uttarakhand,22815,16484,608,5225,498,14072,12339,203,1395,135
2021-22,West Bengal,94744,83302,88,9750,1604,73187,70307,50,2507,323
