Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with library facility - All management,Schools with library facility - Government,Schools with library facility - Government aided,Schools with library facility - Pvt. unaided,Schools with library facility - Others
2021-22,Daman and Diu and Dadra and Nagar Haveli,460,388,8,63,1,454,386,8,59,1
2021-22,Delhi,5619,2762,247,2610,0,5619,2762,247,2610,0
2021-22,Goa,1510,814,557,139,0,1506,814,553,139,0
2021-22,Gujarat,53851,34699,5590,13559,3,51693,34385,5477,11828,3
2021-22,Haryana,23726,14562,16,8261,887,23026,14483,14,7824,705
2021-22,Himachal Pradesh,18028,15380,0,2646,2,17294,14973,0,2320,1
2021-22,Jammu and Kashmir,28805,23173,1,5526,105,20791,16337,1,4381,72
2021-22,Jharkhand,44855,35840,1175,1559,6281,42119,35061,1087,1508,4463
2021-22,Karnataka,76450,49679,7110,19650,11,73678,48438,6882,18348,10
2021-22,Kerala,16240,5010,7183,3164,883,15987,4973,7166,3062,786
2021-22,Ladakh,978,838,28,112,0,954,829,22,103,0
2021-22,Lakshadweep,38,38,0,0,0,38,38,0,0,0
2021-22,Madhya Pradesh,125582,92695,740,30345,1802,119074,88907,675,28007,1485
2021-22,Maharashtra,109605,65639,24037,19268,661,107155,65117,23391,18072,575
2021-22,Manipur,4617,2889,583,1010,135,1187,322,57,774,34
2021-22,Meghalaya,14600,7783,4172,2120,525,3468,2085,963,353,67
2021-22,Mizoram,3911,2563,230,1034,84,3230,2521,166,510,33
2021-22,Nagaland,2718,1960,0,757,1,1966,1535,0,430,1
2021-22,Odisha,62291,49072,5807,6104,1308,58960,46618,5335,5868,1139
2021-22,Puducherry,736,422,33,281,0,733,421,33,279,0
2021-22,Punjab,27701,19259,450,7978,14,27577,19249,423,7891,14
2021-22,Rajasthan,106373,68948,0,34826,2599,82439,53855,0,27824,760
2021-22,Sikkim,1259,864,19,376,0,1132,800,15,317,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,58801,37636,8323,12396,446
2021-22,Telangana,43083,30023,700,12193,167,39510,27882,585,10953,90
2021-22,Tripura,4929,4262,43,363,261,3493,3164,31,225,73
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,203962,131896,5757,59978,6331
2021-22,Uttarakhand,22815,16484,608,5225,498,20886,15703,499,4409,275
2021-22,West Bengal,94744,83302,88,9750,1604,82811,76684,62,5166,899
