Year,State,Primary (1 to 5) - Boys,Primary (1 to 5) - Girls,Primary (1 to 5) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (1-10) - Boys,Secondary (1-10) - Girls,Secondary (1-10) - Total,Higher Secondary (1-12) - Boys,Higher Secondary (1-12) - Girls,Higher Secondary (1-12) - Total
2021-22,Jharkhand,90.7,94.6,92.6,70.3,74.9,72.5,46.1,50.8,48.4,26.7,28.5,27.6
2021-22,Karnataka,96.3,97.4,96.8,90.6,91.6,91.1,82.3,83.4,82.8,44.7,50.8,47.6
2021-22,Kerala,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-22,Ladakh,91.4,94.2,92.8,69.0,80.3,74.5,63.7,77.2,70.2,46.8,67.1,56.6
2021-22,Lakshadweep,100.0,100.0,100.0,98.5,100.0,100.0,100.0,100.0,100.0,86.9,88.6,87.7
2021-22,Madhya Pradesh,92.0,93.0,92.5,79.4,81.5,80.4,52.2,52.0,52.1,29.8,30.5,30.1
2021-22,Maharashtra,97.3,97.7,97.5,93.6,93.8,93.7,92.9,90.2,91.6,70.2,68.1,69.2
2021-22,Manipur,74.1,75.3,74.6,61.3,60.4,60.8,42.5,42.2,42.3,35.8,34.4,35.1
2021-22,Meghalaya,52.5,58.1,55.2,46.3,56.2,51.1,32.2,41.5,36.8,16.7,21.5,19.1
2021-22,Mizoram,64.6,68.1,66.3,55.2,58.6,56.8,41.4,49.8,45.4,25.7,30.6,28.0
2021-22,Nagaland,61.0,63.4,62.2,55.2,60.1,57.6,39.7,45.0,42.3,20.6,25.7,23.1
2021-22,Odisha,94.8,94.6,94.7,83.8,84.6,84.2,67.9,70.7,69.2,32.8,36.9,34.8
2021-22,Puducherry,88.4,100.0,93.8,98.2,97.2,97.7,94.0,94.7,94.4,75.0,84.9,79.8
2021-22,Punjab,100.0,100.0,100.0,86.3,87.5,86.8,81.4,81.2,81.3,63.2,66.1,64.5
2021-22,Rajasthan,89.8,91.7,90.7,73.4,74.7,74.0,65.2,64.0,64.7,45.6,42.9,44.3
2021-22,Sikkim,90.7,93.2,91.9,85.2,97.3,90.7,69.1,88.1,77.9,33.5,47.9,40.3
2021-22,Tamil Nadu,98.4,97.9,98.1,90.9,89.6,90.2,85.1,84.9,85.0,68.0,78.0,72.8
2021-22,Telangana,97.7,98.0,97.8,81.7,83.4,82.5,74.9,76.8,75.8,47.8,51.5,49.6
2021-22,Tripura,93.9,96.0,94.9,82.4,85.4,83.9,62.7,68.8,65.7,42.4,46.2,44.2
2021-22,Uttar Pradesh,90.4,90.3,90.3,70.3,70.6,70.5,51.8,45.9,48.9,44.9,40.0,42.5
2021-22,Uttarakhand,89.4,90.3,89.8,82.3,84.5,83.3,75.7,76.5,76.1,59.1,63.6,61.2
2021-22,West Bengal,86.8,87.6,87.2,81.8,86.4,84.0,45.9,53.5,49.6,29.5,37.1,33.2
