Year,State,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total
2021-22,Puducherry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,Rajasthan,108.3,108.9,108.6,105,99.3,102.3,107.2,105.5,106.4,79,74.4,76.8,73.2,69,71.2
2021-22,Sikkim,113.2,97.5,105.5,76.2,78.2,77.2,95.9,88.4,92.2,85.6,95.9,90.7,55.9,74.2,65.1
2021-22,Tamil Nadu,111.7,112.5,112.1,111.9,109.9,110.9,111.8,111.5,111.7,116.9,119.5,118.2,80.4,90.1,85
2021-22,Telangana,108.3,104.1,106.3,102.2,98.7,100.5,106,102.1,104.2,88.5,89.5,89,67.7,75,71.1
2021-22,Tripura,122.8,127,124.8,83.2,85.6,84.4,105,108.3,106.6,70.1,75,72.5,48.4,59,53.5
2021-22,Uttar Pradesh,179,179.3,179.1,179.1,187.3,183.1,179,181.9,180.4,113.9,116.6,115.2,68.6,71.1,69.8
2021-22,Uttarakhand,110.6,116.7,113.4,90.4,93,91.6,102.1,106.5,104.2,79,76.1,77.6,68.4,70.7,69.5
2021-22,West Bengal,113.4,113.5,113.4,95.6,97.9,96.8,106.6,107.4,107,94.5,111,102.5,44.3,57.2,50.6
