Year,State,Total Schools - All management,Total Schools - Government,Total Schools - Government aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with CWSN friendly toilet - All management,Schools with CWSN friendly toilet - Government,Schools with CWSN friendly toilet - Government aided,Schools with CWSN friendly toilet - Pvt. unaided,Schools with CWSN friendly toilet - Others,Schools with functional CWSN friendly toilet - All management,Schools with functional CWSN friendly toilet - Government,Schools with functional CWSN friendly toilet - Government aided,Schools with functional CWSN friendly toilet - Pvt. unaided,Schools with functional CWSN friendly toilet - Others
2021-22,Nagaland,2718,1960,0,757,1,148,107,0,41,0,126,88,0,38,0
2021-22,Odisha,62291,49072,5807,6104,1308,34134,28043,1872,3582,637,33062,27077,1834,3533,618
2021-22,Puducherry,736,422,33,281,0,280,196,4,80,0,266,183,4,79,0
2021-22,Punjab,27701,19259,450,7978,14,22039,14895,335,6795,14,21946,14805,335,6792,14
2021-22,Rajasthan,106373,68948,0,34826,2599,21097,7324,0,13379,394,19503,6699,0,12461,343
2021-22,Sikkim,1259,864,19,376,0,189,162,1,26,0,171,145,1,25,0
2021-22,Tamil Nadu,58801,37636,8323,12396,446,17579,13627,838,3028,86,17579,13627,838,3028,86
2021-22,Telangana,43083,30023,700,12193,167,2405,1519,24,861,1,2025,1140,24,860,1
2021-22,Tripura,4929,4262,43,363,261,433,369,9,51,4,375,313,8,50,4
2021-22,Uttar Pradesh,258054,137024,8113,97808,15109,61861,32578,1855,24655,2773,58177,29756,1795,23961,2665
2021-22,Uttarakhand,22815,16484,608,5225,498,1572,891,33,613,35,1407,775,32,571,29
2021-22,West Bengal,94744,83302,88,9750,1604,28392,24766,20,3104,502,28392,24766,20,3104,502
