Year,State,Total - Male,Total - Female,Total - Total,Pre-Primary Only - Male,Pre-Primary Only - Female,Pre-Primary Only - Total,Pre-Primary & Primary - Male,Pre-Primary & Primary - Female,Pre-Primary & Primary - Total,Primary Only - Male,Primary Only - Female,Primary Only - Total,Primary & Upper Primary - Male,Primary & Upper Primary - Female,Primary & Upper Primary - Total,Upper Primary Only - Male,Upper Primary Only - Female,Upper Primary Only - Total,Upper Primary & Secondary - Male,Upper Primary & Secondary - Female,Upper Primary & Secondary - Total,Secondary Only - Male,Secondary Only - Female,Secondary Only - Total,Secondary & Higher Secondary - Male,Secondary & Higher Secondary - Female,Secondary & Higher Secondary - Total,Higher Secondary Only - Male,Higher Secondary Only - Female,Higher Secondary Only - Total
2019-20,Tamil Nadu,79490,147816,227306,5,19,24,0,1,1,20897,59684,80581,1347,2323,3670,16952,28498,45450,15807,26976,42783,8784,12913,21697,3239,3348,6587,12459,14054,26513
2019-20,Telangana,81747,70551,152298,7,9,16,424,452,876,29921,27088,57009,3897,3552,7449,5226,5029,10255,29818,23201,53019,4979,6030,11009,1589,1554,3143,5886,3636,9522
2019-20,Tripura,27033,11359,38392,3,1,4,3,0,3,13014,4633,17647,62,19,81,6579,2492,9071,79,32,111,4262,1972,6234,37,15,52,2994,2195,5189
2019-20,Uttar Pradesh,297439,286032,583471,26,47,73,226,214,440,201324,206408,407732,5243,3793,9036,82361,67445,149806,857,778,1635,4108,4593,8701,1472,1097,2569,1822,1657,3479
2019-20,Uttarakhand,34920,23896,58816,0,0,0,6,14,20,12062,12192,24254,40,70,110,5791,3537,9328,1935,1150,3085,8402,4262,12664,798,407,1205,5886,2264,8150
2019-20,West Bengal,284212,188412,472624,17792,18290,36082,126365,88378,214743,45,33,78,2753,1737,4490,37150,24317,61467,41509,22572,64081,17996,10177,28173,32670,17551,50221,7932,5357,13289
2020-21,India,2773901,2153198,4927099,13391,19727,33118,136587,102019,238606,1153673,967332,2121005,157180,121855,279035,625076,449941,1075017,185226,131618,316844,251343,189864,441207,114560,67444,182004,136865,103398,240263
2020-21,Andaman and Nicobar Islands,1682,2621,4303,45,96,141,3,26,29,524,971,1495,58,70,128,286,453,739,218,333,551,182,300,482,65,89,154,301,283,584
2020-21,Andhra Pradesh,103686,82769,186455,0,0,0,0,0,0,46761,40130,86891,688,690,1378,22387,17629,40016,11873,8918,20791,15717,11836,27553,396,494,890,5864,3072,8936
2020-21,Arunachal Pradesh,9505,7218,16723,8,9,17,117,105,222,3703,2794,6497,1356,845,2201,1935,1816,3751,425,275,700,1093,852,1945,305,166,471,563,356,919
2020-21,Assam,138405,82824,221229,30,34,64,2043,1568,3611,65013,42574,107587,2653,1790,4443,26986,11884,38870,17592,11506,29098,15119,7555,22674,3658,2464,6122,5311,3449,8760
2020-21,Bihar,242708,160150,402858,0,1,1,165,79,244,80081,66677,146758,18908,9596,28504,104221,70381,174602,1035,259,1294,25220,8395,33615,5931,2019,7950,7147,2743,9890
2020-21,Chandigarh,1481,3673,5154,2,108,110,0,10,10,516,969,1485,56,93,149,184,366,550,447,1352,1799,80,199,279,58,148,206,138,428,566
2020-21,Chhattisgarh,109698,66342,176040,1,11,12,40,37,77,51983,30427,82410,283,265,548,30764,16040,46804,297,179,476,8046,5733,13779,13317,10210,23527,4967,3440,8407
2020-21,Daman and Diu and Dadra and Nagar Haveli,1314,1663,2977,0,8,8,2,7,9,471,782,1253,41,44,85,355,399,754,3,4,7,264,255,519,48,32,80,130,132,262
2020-21,Delhi,31166,51173,82339,41,1803,1844,0,0,0,7915,15939,23854,0,0,0,8572,13470,22042,0,0,0,7121,10076,17197,0,0,0,7517,9885,17402
2020-21,Goa,698,2423,3121,0,6,6,0,0,0,203,1464,1667,3,11,14,130,278,408,127,257,384,140,245,385,20,8,28,75,154,229
2020-21,Gujarat,104734,94020,198754,3,8,11,12,26,38,57703,56070,113773,586,306,892,41181,34473,75654,250,185,435,3130,1864,4994,243,124,367,1626,964,2590
2020-21,Haryana,55244,41653,96897,0,16,16,7,8,15,22015,14794,36809,31,39,70,12675,8630,21305,5207,3532,8739,2411,2051,4462,10632,10677,21309,2266,1906,4172
2020-21,Himachal Pradesh,41425,27071,68496,20,33,53,229,183,412,12538,9328,21866,30,28,58,7157,3389,10546,7090,5275,12365,3863,2872,6735,2514,1262,3776,7984,4701,12685
2020-21,Jammu and Kashmir,63729,37943,101672,0,0,0,1435,1458,2893,23768,14532,38300,8,13,21,23139,13769,36908,33,23,56,9927,5643,15570,57,28,85,5362,2477,7839
2020-21,Jharkhand,86005,35128,121133,18,4,22,162,92,254,44805,18200,63005,11239,3242,14481,18428,6943,25371,1320,939,2259,6672,3880,10552,1249,625,1874,2112,1203,3315
2020-21,Karnataka,105657,102511,208168,0,9,9,27,37,64,24905,23596,48501,43582,51525,95107,6017,5501,11518,1540,1124,2664,24060,17846,41906,280,189,469,5246,2684,7930
2020-21,Kerala,20082,56963,77045,25,2908,2933,6,27,33,4837,19206,24043,110,314,424,3821,10762,14583,115,227,342,5712,12503,18215,104,179,283,5352,10837,16189
2020-21,Ladakh,2470,2042,4512,54,27,81,75,86,161,524,749,1273,234,74,308,831,726,1557,115,32,147,342,222,564,57,13,70,238,113,351
2020-21,Lakshadweep,474,486,960,0,31,31,0,0,0,149,185,334,51,46,97,53,55,108,25,31,56,89,70,159,31,21,52,76,47,123
2020-21,Madhya Pradesh,203878,101607,305485,8,5,13,85,57,142,116661,57602,174263,4528,1756,6284,45479,22105,67584,1337,649,1986,22395,12670,35065,2923,1505,4428,10462,5258,15720
2020-21,Maharashtra,152947,96710,249657,11,46,57,130,116,246,109610,74697,184307,2954,2318,5272,31775,14867,46642,889,556,1445,5597,3189,8786,488,272,760,1493,649,2142
2020-21,Manipur,9202,9770,18972,4,11,15,193,374,567,5483,5471,10954,357,400,757,759,920,1679,492,587,1079,758,1024,1782,259,161,420,897,822,1719
2020-21,Meghalaya,10990,12403,23393,35,101,136,496,841,1337,5329,5990,11319,21,39,60,4513,4645,9158,80,89,169,311,461,772,64,31,95,141,206,347
2020-21,Mizoram,7814,5569,13383,2,3,5,23,22,45,2605,2433,5038,3,0,3,3646,2118,5764,31,13,44,1212,648,1860,29,7,36,263,325,588
2020-21,Nagaland,9895,9489,19384,25,73,98,258,352,610,4366,4237,8603,350,428,778,3278,2780,6058,254,182,436,1057,1026,2083,51,33,84,256,378,634
2020-21,Odisha,134228,99045,233273,0,0,0,5,4,9,62736,47896,110632,29541,23124,52665,19057,12351,31408,5411,4395,9806,16448,10678,27126,291,137,428,739,460,1199
2020-21,Puducherry,1708,3007,4715,0,137,137,14,17,31,501,1276,1777,14,23,37,179,200,379,461,706,1167,153,239,392,76,45,121,310,364,674
2020-21,Punjab,45012,77862,122874,3,47,50,2685,5374,8059,12739,26213,38952,0,0,0,8783,15684,24467,0,0,0,12867,20870,33737,0,0,0,7935,9674,17609
2020-21,Rajasthan,265345,132929,398274,39,29,68,1289,641,1930,89633,53467,143100,23367,12013,35380,52286,28871,81157,38232,14703,52935,14232,5749,19981,30463,11171,41634,15804,6285,22089
2020-21,Sikkim,4612,5724,10336,39,626,665,4,7,11,2125,2229,4354,24,24,48,893,1054,1947,281,351,632,647,704,1351,16,19,35,583,710,1293
2020-21,Tamil Nadu,80509,149328,229837,5,21,26,0,1,1,21024,60008,81032,1436,2502,3938,17051,28632,45683,15919,27061,42980,8875,12991,21866,3356,3472,6828,12843,14640,27483
2020-21,Telangana,74148,64320,138468,10,13,23,356,366,722,27075,24048,51123,3986,3648,7634,4381,4295,8676,27003,21053,48056,4565,5896,10461,1583,1573,3156,5189,3428,8617
2020-21,Tripura,19359,8801,28160,0,0,0,5,2,7,9138,3398,12536,126,40,166,3796,1526,5322,606,235,841,3169,1669,4838,353,232,585,2166,1699,3865
2020-21,Uttar Pradesh,318226,304968,623194,17,47,64,271,258,529,221065,224145,445210,10052,6104,16156,77648,64994,142642,956,874,1830,4755,5560,10315,1607,1237,2844,1855,1749,3604
2020-21,Uttarakhand,34750,24304,59054,0,0,0,8,15,23,11671,11896,23567,30,65,95,5680,3553,9233,2401,1436,3837,7690,4077,11767,1193,677,1870,6077,2585,8662
