Year,State,Pre-Primary - Boys,Pre-Primary - Girls,Pre-Primary - Total,Primary (1-5) - Boys,Primary (1-5) - Girls,Primary (1-5) - Total,Upper Primary (6-8) - Boys,Upper Primary (6-8) - Girls,Upper Primary (6-8) - Total,Elementary (1-8) - Boys,Elementary (1-8) - Girls,Elementary (1-8) - Total,Secondary (9-10) - Boys,Secondary (9-10) - Girls,Secondary (9-10) - Total,Higher Secondary (11-12) - Boys,Higher Secondary (11-12) - Girls,Higher Secondary (11-12) - Total,Primary to Higher Secondary (1-12) - Boys,Primary to Higher Secondary (1-12) - Girls,Primary to Higher Secondary (1-12) - Total,Total (Pre-Primary to Higher Secondary) - Boys,Total (Pre-Primary to Higher Secondary) - Girls,Total (Pre-Primary to Higher Secondary) - Total
2021-22,Chhattisgarh,0,0,0,5260,3854,9114,1766,1415,3181,7026,5269,12295,0,0,0,0,0,0,7026,5269,12295,7026,5269,12295
2021-22,Daman and Diu and Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Gujarat,0,0,0,201,246,447,166,179,345,367,425,792,145,150,295,22,99,121,534,674,1208,534,674,1208
2021-22,Haryana,12326,9746,22072,43712,32134,75846,13485,9549,23034,57197,41683,98880,555,349,904,161,165,326,57913,42197,100110,70239,51943,122182
2021-22,Himachal Pradesh,0,0,0,38,31,69,0,0,0,38,31,69,0,0,0,0,0,0,38,31,69,38,31,69
2021-22,Jammu and Kashmir,1154,921,2075,3391,2280,5671,996,765,1761,4387,3045,7432,193,279,472,0,55,55,4580,3379,7959,5734,4300,10034
2021-22,Jharkhand,99702,75030,174732,364885,273424,638309,141233,109676,250909,506118,383100,889218,20155,17593,37748,1266,1577,2843,527539,402270,929809,627241,477300,1104541
2021-22,Karnataka,12,10,22,227,96,323,170,120,290,397,216,613,96,126,222,0,0,0,493,342,835,505,352,857
2021-22,Kerala,12918,11681,24599,36845,32919,69764,6722,5823,12545,43567,38742,82309,505,554,1059,133,231,364,44205,39527,83732,57123,51208,108331
2021-22,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,Madhya Pradesh,373,420,793,37634,35596,73230,15271,14734,30005,52905,50330,103235,32,42,74,14,23,37,52951,50395,103346,53324,50815,104139
2021-22,Maharashtra,5116,4465,9581,37791,31104,68895,10742,7716,18458,48533,38820,87353,2675,1927,4602,663,68,731,51871,40815,92686,56987,45280,102267
2021-22,Manipur,2440,2219,4659,4835,4562,9397,988,896,1884,5823,5458,11281,0,0,0,0,0,0,5823,5458,11281,8263,7677,15940
2021-22,Meghalaya,5661,5218,10879,9264,9280,18544,2002,2553,4555,11266,11833,23099,2348,3310,5658,954,1375,2329,14568,16518,31086,20229,21736,41965
2021-22,Mizoram,609,623,1232,1587,1480,3067,554,548,1102,2141,2028,4169,579,618,1197,322,331,653,3042,2977,6019,3651,3600,7251
