Year,State,Scheme,Spillover,Non-Recurring - Fresh,Recurring - Fresh,Total Fresh,Grand Total - Including Spillover and Reimbursement
2023-24,Ladakh,Total,8689.02,3485.65,8956.71,12442.36,21131.38,
2023-24,Ladakh,Teacher Education,17.64,0,132.05,132.05,149.69,
2023-24,Ladakh,Elementary,3831.81,2910.99,6327.17,9238.16,13069.97,
2023-24,Ladakh,Secondary,4839.57,574.66,2497.49,3072.15,7911.72,
2023-24,Lakshadweep,Secondary,39.0,0.0,76.54,76.54,115.54,
2023-24,Lakshadweep,Total,257.5,0.0,462.44,462.44,719.94,
2023-24,Lakshadweep,Elementary,218.5,0.0,353.9,353.9,572.4,
2023-24,Lakshadweep,Teacher Education,0.0,0.0,32.0,32.0,32.0,
2023-24,Madhya Pradesh,Secondary,38321.48,37099.93,77942.91,115042.84,153364.32,
2023-24,Madhya Pradesh,Elementary,55279.27,17856.57,431700.85,449557.42,504836.69,
2023-24,Madhya Pradesh,Total,94018.88,56776.5,514183.11,570959.61,664978.5,
2023-24,Madhya Pradesh,Teacher Education,418.13,1820.0,4539.36,6359.36,6777.49,
2023-24,Maharashtra,Total,88672.73,25595.38,192891.22,218486.6,307159.33,
2023-24,Maharashtra,Secondary,14367.78,8833.13,21640.38,30473.51,44841.29,
2023-24,Maharashtra,Elementary,73327.99,16579.25,167071.97,183651.22,256979.21,
2023-24,Maharashtra,Teacher Education,976.96,183.0,4178.87,4361.87,5338.83,
2023-24,Manipur,Elementary,17090.68,11676.94,22958.12,34635.07,51725.75,
2023-24,Manipur,Secondary,10665.38,7790.42,11070.7,18861.12,29526.5,
2023-24,Manipur,Teacher Education,1638.78,1260.0,1389.38,2649.38,4288.16,
2023-24,Manipur,Total,29394.84,20727.36,35418.2,56145.57,85540.41,
2023-24,Meghalaya,Total,11637.337,10481.08,48751.57,59232.65,70869.99,
2023-24,Meghalaya,Teacher Education,230.787,710.5,1166.93,1877.43,2108.217,
2023-24,Meghalaya,Elementary,6922.922,4814.91,43327.24,48142.14,55065.06,
2023-24,Meghalaya,Secondary,4483.628,4955.67,4257.4,9213.08,13696.71,
2023-24,Mizoram,Elementary,8330.11,2602.46,15515.55,18118.01,30005.9
2023-24,Mizoram,Secondary,7458.15,5938.69,6641.69,12580.38,21733.18
2023-24,Mizoram,Teacher Education,301.78,1982.00,1735.35,3717.35,4333.12
2023-24,Mizoram,Total,16090.04,10523.15,23892.59,34415.74,56072.2
2023-24,Nagaland,Total,18464.41,13373.74,27450.85,40824.59,59289.0,
2023-24,Nagaland,Teacher Education,907.54,2135.02,2201.03,4336.05,5243.59,
2023-24,Nagaland,Secondary,9362.73,5030.86,5194.6,10225.46,19588.19,
2023-24,Nagaland,Elementary,8194.14,6207.86,20055.22,26263.08,34457.22,
2023-24,Odisha,Total,19495.69,20778.29,302564.46,323342.75,342838.44,
2023-24,Odisha,Elementary,9747.42,17702.55,259555.3,277257.85,287005.27,
2023-24,Odisha,Secondary,9084.38,3075.74,38197.36,41273.1,50357.48,
2023-24,Odisha,Teacher Education,663.9,0.0,4811.8,4811.8,5475.7,
2023-24,Puducherry,Secondary,255.97,45.5,687.27,732.77,988.74,
2023-24,Puducherry,Teacher Education,0.0,0.0,120.54,120.54,120.54,
2023-24,Puducherry,Elementary,331.84,39.6,2382.32,2421.92,2753.76,
2023-24,Puducherry,Total,587.81,85.1,3190.13,3275.23,3863.04,
2023-24,Punjab,Teacher Education,160.37,63.88,1342.02,1405.9,1566.27,
2023-24,Punjab,Secondary,14427.3,7548.91,32223.99,39772.9,54200.2,
2023-24,Punjab,Elementary,13477.1,14119.78,74531.19,88650.97,102128.07,
2023-24,Punjab,Total,28064.77,21732.57,108097.2,129829.77,157894.54,
2023-24,Rajasthan,Elementary,47139.57,23457.26,422478.83,445936.09,493075.66,
2023-24,Rajasthan,Secondary,73895.39,44103.74,81340.81,125444.55,199339.94,
2023-24,Rajasthan,Teacher Education,252.598,492.68,4659.16,5151.84,5404.438,
2023-24,Rajasthan,Total,121287.558,68053.68,508478.79,576532.47,697820.038,
2023-24,Sikkim,Elementary,731.82,1560.5,7023.61,8584.11,9315.93,
2023-24,Sikkim,Secondary,3206.81,843.57,4654.44,5498.01,8704.82,
2023-24,Sikkim,Teacher Education,170.34,1431.0,674.78,2105.78,2276.12,
