Year,State,Major Component,Proposed by State - Total,Proposed by State - % of Total,Recommended by DoSEL - Total,Recommended by DoSEL - % of Total
2023-24,Delhi,Monitoring of the Scheme,,,80.82,0.15
2023-24,Delhi,Program Management,,,2214.76,4.07
2023-24,Delhi,Total,,,54392.52,100.0
2023-24,Delhi,Financial Support for Teachers,,,4622.99,8.5
2023-24,Delhi,Inclusive Education,,,4936.35,9.08
2023-24,Goa,Monitoring of the Scheme,,,63.02,1.42
2023-24,Goa,Vocational Education,,,1317.64,29.79
2023-24,Goa,Inclusive Education,,,92.5,2.09
2023-24,Goa,Gender & Equity,,,55.42,1.25
2023-24,Goa,Financial Support for Teachers,,,296.92,6.71
2023-24,Goa,Teacher Education,,,257.19,5.81
2023-24,Goa,Access & Retention,,,99.19,2.24
2023-24,Goa,Program Management,,,210.61,4.76
2023-24,Goa,Total,,,4422.89,100.0
2023-24,Goa,Quality Interventions,,,1359.19,30.73
2023-24,Goa,RTE Entitlements,,,671.21,15.18
2023-24,Gujarat,Financial Support for Teachers,,,39446.08,16.13
2023-24,Gujarat,Gender & Equity,,,29567.64,12.09
2023-24,Gujarat,Access & Retention,,,15566.16,6.36
2023-24,Gujarat,Teacher Education,,,5155.65,2.11
2023-24,Gujarat,Inclusive Education,,,10161.26,4.15
2023-24,Gujarat,Vocational Education,,,9149.99,3.74
2023-24,Gujarat,Sports & Physical Education,,,3073.35,1.26
2023-24,Gujarat,Quality Interventions,,,71129.58,29.08
2023-24,Gujarat,RTE Entitlements,,,50633.06,20.7
2023-24,Gujarat,Monitoring of the Scheme,,,453.92,0.19
2023-24,Gujarat,Program Management,,,10252.14,4.19
2023-24,Gujarat,Total,,,244588.83,100.0
2023-24,Haryana,Total,,,153901.92,100.0
2023-24,Haryana,Monitoring of the Scheme,,,210.27,0.14
2023-24,Haryana,Sports & Physical Education,,,1519.15,0.99
2023-24,Haryana,Vocational Education,,,20470.01,13.3
2023-24,Haryana,Inclusive Education,,,2072.44,1.35
2023-24,Haryana,Gender & Equity,,,5996.08,3.9
2023-24,Haryana,Financial Support for Teachers,,,36224.17,23.54
2023-24,Haryana,Teacher Education,,,3957.25,2.57
2023-24,Haryana,Quality Interventions,,,38976.59,25.33
2023-24,Haryana,RTE Entitlements,,,14555.54,9.46
2023-24,Haryana,Access & Retention,,,24001.12,15.6
2023-24,Haryana,Program Management,,,5919.3,3.85
2023-24,Himachal Pradesh,Access & Retention,,,7621.51,10.56
2023-24,Himachal Pradesh,Inclusive Education,,,328.11,0.45
2023-24,Himachal Pradesh,Total,,,72185.07,100.0
2023-24,Himachal Pradesh,RTE Entitlements,,,4068.41,5.64
2023-24,Himachal Pradesh,Quality Interventions,,,29218.37,40.48
2023-24,Himachal Pradesh,Teacher Education,,,2120.98,2.94
2023-24,Himachal Pradesh,Financial Support for Teachers,,,8899.62,12.33
2023-24,Himachal Pradesh,Gender & Equity,,,2974.2,4.12
2023-24,Himachal Pradesh,Vocational Education,,,12483.22,17.29
2023-24,Himachal Pradesh,Sports & Physical Education,,,1427.75,1.98
2023-24,Himachal Pradesh,Monitoring of the Scheme,,,42.9,0.06
2023-24,Himachal Pradesh,Program Management,,,3000.0,4.16
2023-24,Jammu and Kashmir,Access & Retention,,,31308.09,18.63
2023-24,Jammu and Kashmir,Total,,,168051.7,100.0
2023-24,Jammu and Kashmir,Program Management,,,7950.15,4.73
2023-24,Jammu and Kashmir,Monitoring of the Scheme,,,153.68,0.09
2023-24,Jammu and Kashmir,Sports & Physical Education,,,1826.3,1.09
2023-24,Jammu and Kashmir,Vocational Education,,,8998.98,5.35
2023-24,Jammu and Kashmir,Inclusive Education,,,813.68,0.48
2023-24,Jammu and Kashmir,Gender & Equity,,,8699.55,5.18
2023-24,Jammu and Kashmir,Financial Support for Teachers,,,41544.77,24.72
2023-24,Jammu and Kashmir,Quality Interventions,,,54515.58,32.44
2023-24,Jammu and Kashmir,RTE Entitlements,,,10915.92,6.5
2023-24,Jammu and Kashmir,Teacher Education,,,1325.0,0.79
2023-24,Karnataka,Program Management,9749.83,5.05,7551.52,4.76
2023-24,Karnataka,Inclusive Education,6091.6,3.16,5955.26,3.76
2023-24,Karnataka,Access & Retention,8430.15,4.37,4295.54,2.71
2023-24,Karnataka,RTE Entitlements,33458.78,17.34,33455.94,21.1
2023-24,Karnataka,Quality Interventions,68636.15,35.57,59348.19,37.42
2023-24,Karnataka,Sports & Physical Education,474.5,0.25,474.5,0.3
2023-24,Karnataka,Teacher Education,5304.55,2.75,4937.98,3.11
2023-24,Karnataka,Financial Support for Teachers,44744.7,23.19,29525.58,18.62
2023-24,Karnataka,Gender & Equity,11681.04,6.05,10139.16,6.39
2023-24,Karnataka,Vocational Education,3955.32,2.05,2915.04,1.84
2023-24,Karnataka,Monitoring of the Scheme,427.19,0.22,412.19,0.26
2023-24,Karnataka,Total,192953.82,100.0,158581.91,100.0
2023-24,Kerala,Inclusive Education,14414.63,20.37,12544.41,20.71
2023-24,Kerala,Vocational Education,1471.96,2.08,1183.48,1.95
2023-24,Kerala,Monitoring of the Scheme,265.73,0.38,173.44,0.29
2023-24,Kerala,Financial Support for Teachers,1652.79,2.34,1610.69,2.66
2023-24,Kerala,Program Management,3290.0,4.65,2884.22,4.76
2023-24,Kerala,Teacher Education,2040.6,2.88,1812.01,2.99
2023-24,Kerala,Gender & Equity,872.09,1.23,776.36,1.28
2023-24,Kerala,Quality Interventions,31924.47,45.12,25809.07,42.61
2023-24,Kerala,Sports & Physical Education,403.25,0.57,416.65,0.69
2023-24,Kerala,Access & Retention,2360.46,3.34,1345.44,2.22
2023-24,Kerala,Total,70747.42,100.0,60568.62,100.0
2023-24,Kerala,RTE Entitlements,12051.45,17.03,12012.86,19.83
2023-24,Ladakh,Inclusive Education,,,45.99,0.37
2023-24,Ladakh,Total,,,12442.36,100.0
2023-24,Ladakh,Program Management,,,456.22,3.67
2023-24,Ladakh,Monitoring of the Scheme,,,51.5,0.41
2023-24,Ladakh,Sports & Physical Education,,,83.8,0.67
2023-24,Ladakh,Vocational Education,,,382.06,3.07
2023-24,Ladakh,Financial Support for Teachers,,,1770.72,14.23
2023-24,Ladakh,Teacher Education,,,132.05,1.06
2023-24,Ladakh,Quality Interventions,,,3949.24,31.74
2023-24,Ladakh,RTE Entitlements,,,284.89,2.29
2023-24,Ladakh,Access & Retention,,,4595.99,36.94
2023-24,Ladakh,Gender & Equity,,,689.9,5.54
2023-24,Lakshadweep,Teacher Education,,,32.0,6.92
2023-24,Lakshadweep,Inclusive Education,,,35.31,7.64
2023-24,Lakshadweep,Gender & Equity,,,14.07,3.04
2023-24,Lakshadweep,Financial Support for Teachers,,,101.2,21.88
2023-24,Lakshadweep,Total,,,462.44,100.0
2023-24,Lakshadweep,Sports & Physical Education,,,4.4,0.95
2023-24,Lakshadweep,Monitoring of the Scheme,,,0.27,0.06
2023-24,Lakshadweep,Program Management,,,40.0,8.65
2023-24,Lakshadweep,Quality Interventions,,,229.15,49.55
2023-24,Lakshadweep,Vocational Education,,,4.5,0.97
2023-24,Lakshadweep,RTE Entitlements,,,1.54,0.33
2023-24,Madhya Pradesh,Quality Interventions,,,157770.12,27.63
2023-24,Madhya Pradesh,Program Management,,,24586.77,4.31
2023-24,Madhya Pradesh,Total,,,570959.61,100.0
2023-24,Madhya Pradesh,Access & Retention,,,48455.25,8.49
2023-24,Madhya Pradesh,Vocational Education,,,19399.44,3.4
2023-24,Madhya Pradesh,RTE Entitlements,,,96277.32,16.86
2023-24,Madhya Pradesh,Inclusive Education,,,4462.99,0.78
2023-24,Madhya Pradesh,Gender & Equity,,,27157.03,4.76
2023-24,Madhya Pradesh,Financial Support for Teachers,,,178329.79,31.23
2023-24,Madhya Pradesh,Sports & Physical Education,,,7685.9,1.35
2023-24,Madhya Pradesh,Teacher Education,,,6359.36,1.11
2023-24,Madhya Pradesh,Monitoring of the Scheme,,,475.65,0.08
2023-24,Maharashtra,Sports & Physical Education,,,4677.55,2.14
2023-24,Maharashtra,Vocational Education,,,7135.96,3.27
2023-24,Maharashtra,Inclusive Education,,,16010.86,7.33
2023-24,Maharashtra,Gender & Equity,,,9815.43,4.49
2023-24,Maharashtra,Financial Support for Teachers,,,7984.11,3.65
2023-24,Maharashtra,Teacher Education,,,4361.87,2.0
2023-24,Maharashtra,Quality Interventions,,,81103.62,37.12
2023-24,Maharashtra,Monitoring of the Scheme,,,795.4,0.36
2023-24,Maharashtra,Program Management,,,8403.33,3.85
2023-24,Maharashtra,RTE Entitlements,,,66997.36,30.66
2023-24,Maharashtra,Total,,,218486.6,100.0
2023-24,Maharashtra,Access & Retention,,,11201.11,5.13
2023-24,Manipur,Total,,,56145.57,100.0
2023-24,Manipur,Program Management,,,2673.6,4.76
2023-24,Manipur,Monitoring of the Scheme,,,61.51,0.11
2023-24,Manipur,Sports & Physical Education,,,253.8,0.45
2023-24,Manipur,Vocational Education,,,2483.14,4.42
2023-24,Manipur,Inclusive Education,,,377.32,0.67
2023-24,Manipur,Gender & Equity,,,2306.09,4.11
2023-24,Manipur,Financial Support for Teachers,,,10734.98,19.12
2023-24,Manipur,Teacher Education,,,2649.38,4.72
2023-24,Manipur,Quality Interventions,,,12075.58,21.51
2023-24,Manipur,RTE Entitlements,,,2202.7,3.92
2023-24,Manipur,Access & Retention,,,20327.48,36.2
2023-24,Meghalaya,Teacher Education,,,1877.43,3.17
2023-24,Meghalaya,Gender & Equity,,,1553.07,2.62
2023-24,Meghalaya,RTE Entitlements,,,4689.98,7.92
2023-24,Meghalaya,Quality Interventions,,,13450.85,22.71
2023-24,Meghalaya,Financial Support for Teachers,,,24922.08,42.07
2023-24,Meghalaya,Inclusive Education,,,207.11,0.35
2023-24,Meghalaya,Vocational Education,,,1620.2,2.74
2023-24,Meghalaya,Sports & Physical Education,,,521.3,0.88
2023-24,Meghalaya,Monitoring of the Scheme,,,123.1,0.21
2023-24,Meghalaya,Program Management,,,2749.29,4.64
2023-24,Meghalaya,Access & Retention,,,7518.24,12.69
2023-24,Meghalaya,Total,,,59232.65,100.0
2023-24,Mizoram,Sports & Physical Education,,,241.75,0.6
2023-24,Mizoram,Vocational Education,,,1135.79,2.84
2023-24,Mizoram,Inclusive Education,,,370.31,0.93
2023-24,Mizoram,Gender & Equity,,,547.68,1.37
2023-24,Mizoram,Financial Support for Teachers,,,9060.01,22.66
2023-24,Mizoram,Teacher Education,,,3717.35,9.3
2023-24,Mizoram,Program Management,,,7109.96,17.78
2023-24,Mizoram,Quality Interventions,,,6530.6,16.33
2023-24,Mizoram,RTE Entitlements,,,1254.53,3.14
2023-24,Mizoram,Access & Retention,,,9958.47,24.91
2023-24,Mizoram,Monitoring of the Scheme,,,55.7,0.14
2023-24,Mizoram,Total,,,39982.15,100.0
2023-24,Nagaland,RTE Entitlements,,,979.13,2.4
2023-24,Nagaland,Monitoring of the Scheme,,,56.65,0.14
2023-24,Nagaland,Sports & Physical Education,,,185.85,0.46
2023-24,Nagaland,Vocational Education,,,1313.52,3.22
2023-24,Nagaland,Inclusive Education,,,96.34,0.24
2023-24,Nagaland,Gender & Equity,,,1443.61,3.54
2023-24,Nagaland,Financial Support for Teachers,,,10432.01,25.55
2023-24,Nagaland,Teacher Education,,,4336.05,10.62
2023-24,Nagaland,Quality Interventions,,,8875.52,21.74
2023-24,Nagaland,Access & Retention,,,11139.23,27.29
2023-24,Nagaland,Program Management,,,1966.67,4.82
2023-24,Nagaland,Total,,,40824.59,100.0
2023-24,Odisha,Program Management,,,15397.27,4.76
2023-24,Odisha,Total,,,323342.74,100.0
2023-24,Odisha,Sports & Physical Education,,,4403.9,1.36
2023-24,Odisha,Access & Retention,,,12219.02,3.78
2023-24,Odisha,RTE Entitlements,,,40177.71,12.43
2023-24,Odisha,Quality Interventions,,,68738.72,21.26
2023-24,Odisha,Teacher Education,,,4811.8,1.49
2023-24,Odisha,Financial Support for Teachers,,,119482.19,36.95
2023-24,Odisha,Gender & Equity,,,36895.87,11.41
2023-24,Odisha,Inclusive Education,,,6133.16,1.9
2023-24,Odisha,Vocational Education,,,14777.52,4.57
2023-24,Odisha,Monitoring of the Scheme,,,305.59,0.09
2023-24,Puducherry,Program Management,,,156.92,4.79
2023-24,Puducherry,Monitoring of the Scheme,,,36.08,1.1
2023-24,Puducherry,Sports & Physical Education,,,49.35,1.51
2023-24,Puducherry,Vocational Education,,,222.03,6.78
2023-24,Puducherry,Inclusive Education,,,103.84,3.17
2023-24,Puducherry,Quality Interventions,,,1966.55,60.04
2023-24,Puducherry,Teacher Education,,,120.54,3.68
2023-24,Puducherry,RTE Entitlements,,,542.3,16.56
2023-24,Puducherry,Total,,,3275.23,100.0
2023-24,Puducherry,Gender & Equity,,,77.61,2.37
2023-24,Punjab,Quality Interventions,57020.03,38.02,48068.36,37.02
2023-24,Punjab,RTE Entitlements,12083.83,8.06,12062.15,9.29
2023-24,Punjab,Total,149974.96,100.0,129829.78,100.0
2023-24,Punjab,Program Management,6127.23,4.09,6127.23,4.72
2023-24,Punjab,Access & Retention,24634.92,16.43,19818.26,15.26
2023-24,Punjab,Financial Support for Teachers,24047.82,16.03,23786.67,18.32
2023-24,Punjab,Teacher Education,3714.34,2.48,1405.91,1.08
2023-24,Punjab,Inclusive Education,2587.94,1.73,2547.46,1.96
2023-24,Punjab,Vocational Education,12860.83,8.58,11593.35,8.93
2023-24,Punjab,Sports & Physical Education,1784.3,1.19,1784.05,1.37
2023-24,Punjab,Monitoring of the Scheme,559.82,0.37,239.82,0.18
2023-24,Punjab,Gender & Equity,4553.9,3.04,2396.52,1.85
2023-24,Rajasthan,Total,,,576532.47,100.0
2023-24,Rajasthan,Program Management,,,24826.76,4.31
2023-24,Rajasthan,Monitoring of the Scheme,,,198.16,0.03
2023-24,Rajasthan,Vocational Education,,,29884.95,5.18
2023-24,Rajasthan,Inclusive Education,,,2918.27,0.51
2023-24,Rajasthan,Gender & Equity,,,30763.83,5.34
2023-24,Rajasthan,Sports & Physical Education,,,7507.55,1.3
2023-24,Rajasthan,Teacher Education,,,5151.84,0.89
2023-24,Rajasthan,Quality Interventions,,,101595.49,17.62
2023-24,Rajasthan,RTE Entitlements,,,102558.3,17.79
2023-24,Rajasthan,Access & Retention,,,79176.96,13.73
2023-24,Rajasthan,Financial Support for Teachers,,,191950.38,33.29
2023-24,Sikkim,Quality Interventions,,,4898.87,30.26
2023-24,Sikkim,Teacher Education,,,2105.78,13.01
2023-24,Sikkim,Financial Support for Teachers,,,1305.78,8.07
2023-24,Sikkim,Gender & Equity,,,438.67,2.71
2023-24,Sikkim,Inclusive Education,,,295.42,1.82
2023-24,Sikkim,Sports & Physical Education,,,88.65,0.55
2023-24,Sikkim,Monitoring of the Scheme,,,54.09,0.33
2023-24,Sikkim,RTE Entitlements,,,427.73,2.64
2023-24,Sikkim,Total,,,16187.9,100.0
2023-24,Sikkim,Program Management,,,770.85,4.76
2023-24,Sikkim,Vocational Education,,,3348.48,20.69
2023-24,Sikkim,Access & Retention,,,2453.56,15.16
2023-24,Tamil Nadu,Access & Retention,,,18426.68,5.58
2023-24,Tamil Nadu,Teacher Education,,,7425.8,2.25
2023-24,Tamil Nadu,Total,,,329933.17,100.0
2023-24,Tamil Nadu,RTE Entitlements,,,58549.47,17.75
2023-24,Tamil Nadu,Quality Interventions,,,101266.4,30.69
2023-24,Tamil Nadu,Financial Support for Teachers,,,106039.4,32.14
2023-24,Tamil Nadu,Gender & Equity,,,7316.89,2.22
2023-24,Tamil Nadu,Inclusive Education,,,8746.81,2.65
2023-24,Tamil Nadu,Vocational Education,,,2598.36,0.79
2023-24,Tamil Nadu,Sports & Physical Education,,,3474.55,1.05
2023-24,Tamil Nadu,Monitoring of the Scheme,,,377.71,0.11
2023-24,Tamil Nadu,Program Management,,,15711.1,4.76
2023-24,Telangana,Total,231426.77,100.0,191393.59,100.0
2023-24,Telangana,Access & Retention,26955.89,11.65,11923.93,6.23
2023-24,Telangana,Program Management,7283.0,3.15,7283.0,3.81
2023-24,Telangana,Monitoring of the Scheme,540.55,0.23,254.34,0.13
2023-24,Telangana,Sports & Physical Education,2553.85,1.1,1697.4,0.89
2023-24,Telangana,Vocational Education,4727.8,2.04,3527.35,1.84
2023-24,Telangana,Inclusive Education,1606.28,0.69,1265.05,0.66
2023-24,Telangana,Gender & Equity,75805.52,32.76,64060.78,33.47
2023-24,Telangana,RTE Entitlements,21391.41,9.24,21042.47,10.99
2023-24,Telangana,Financial Support for Teachers,34496.37,14.91,35075.9,18.33
2023-24,Telangana,Teacher Education,2043.65,0.88,1205.28,0.63
2023-24,Telangana,Quality Interventions,54022.46,23.34,44058.09,23.02
2023-24,Tripura,Total,,,42940.77,100.0
2023-24,Tripura,Program Management,,,2040.34,4.75
2023-24,Tripura,Monitoring of the Scheme,,,28.2,0.07
2023-24,Tripura,Sports & Physical Education,,,472.45,1.1
2023-24,Tripura,Vocational Education,,,2987.42,6.96
2023-24,Tripura,Gender & Equity,,,1373.36,3.2
2023-24,Tripura,Access & Retention,,,7912.48,18.43
2023-24,Tripura,Financial Support for Teachers,,,9779.4,22.77
2023-24,Tripura,Teacher Education,,,1570.59,3.66
2023-24,Tripura,Quality Interventions,,,12425.97,28.94
2023-24,Tripura,RTE Entitlements,,,3685.44,8.58
2023-24,Tripura,Inclusive Education,,,665.12,1.55
2023-24,Uttar Pradesh,Access & Retention,,,84204.02,7.76
2023-24,Uttar Pradesh,Teacher Education,,,17776.15,1.64
2023-24,Uttar Pradesh,RTE Entitlements,,,178252.12,16.42
2023-24,Uttar Pradesh,Quality Interventions,,,190701.44,17.57
2023-24,Uttar Pradesh,Financial Support for Teachers,,,360954.82,33.26
2023-24,Uttar Pradesh,Program Management,,,50611.93,4.66
2023-24,Uttar Pradesh,Inclusive Education,,,8142.2,0.75
2023-24,Uttar Pradesh,Vocational Education,,,6051.51,0.56
2023-24,Uttar Pradesh,Sports & Physical Education,,,9637.95,0.89
2023-24,Uttar Pradesh,Monitoring of the Scheme,,,1309.18,0.12
2023-24,Uttar Pradesh,Total,,,1085286.51,100.0
2023-24,Uttar Pradesh,Gender & Equity,,,177645.19,16.37
2023-24,Uttarakhand,Total,,,75986.01,100.0
2023-24,Uttarakhand,Program Management,,,3618.38,4.76
2023-24,Uttarakhand,Sports & Physical Education,,,1407.2,1.85
2023-24,Uttarakhand,Vocational Education,,,3250.09,4.28
2023-24,Uttarakhand,Inclusive Education,,,497.62,0.65
2023-24,Uttarakhand,Monitoring of the Scheme,,,102.75,0.14
2023-24,Uttarakhand,Financial Support for Teachers,,,11012.94,14.49
2023-24,Uttarakhand,Teacher Education,,,3889.44,5.12
2023-24,Uttarakhand,Quality Interventions,,,18698.31,24.61
2023-24,Uttarakhand,RTE Entitlements,,,18649.08,24.54
2023-24,Uttarakhand,Access & Retention,,,11924.88,15.69
2023-24,Uttarakhand,Gender & Equity,,,2935.32,3.86
2023-24,West Bengal,Sports & Physical Education,6320.9,1.72,6131.85,2.33
2023-24,West Bengal,Vocational Education,23443.97,6.37,19015.56,7.23
2023-24,West Bengal,Inclusive Education,7555.74,2.05,6736.8,2.56
2023-24,West Bengal,Gender & Equity,8826.33,2.4,6316.71,2.4
2023-24,West Bengal,Financial Support for Teachers,122879.23,33.37,110717.19,42.1
2023-24,West Bengal,RTE Entitlements,17911.84,4.86,16825.56,6.4
2023-24,West Bengal,Quality Interventions,106962.12,29.05,73468.23,27.94
2023-24,West Bengal,Access & Retention,57939.91,15.74,9404.62,3.58
2023-24,West Bengal,Program Management,12132.29,3.29,12132.29,4.61
2023-24,West Bengal,Total,368210.01,100.0,262987.35,100.0
2023-24,West Bengal,Teacher Education,2353.69,0.64,1408.68,0.54
2023-24,West Bengal,Monitoring of the Scheme,1883.98,0.51,829.86,0.32
2024-25,Andaman and Nicobar Islands,Financial Support for Teachers,1708.3657,0.0,1708.3657,23.73,1708.3657,0.0,1708.3657,27.43
2024-25,Andaman and Nicobar Islands,Gender & Equity,207.441,15.8,223.241,3.1,102.411,15.4,117.811,1.89
2024-25,Andaman and Nicobar Islands,Total,7105.66969,94.6,7200.26969,100.0,6146.46503,82.1,6228.56503,100.0
2024-25,Andaman and Nicobar Islands,Sports & Physical Education,37.1,0.0,37.1,0.52,37.1,0.0,37.1,0.6
2024-25,Andaman and Nicobar Islands,Skill Education,1286.208,50.0,1336.208,18.56,1125.266,50.0,1175.266,18.87
2024-25,Andaman and Nicobar Islands,Teacher Education,96.6,0.0,96.6,1.34,96.6,0.0,96.6,1.55
2024-25,Andaman and Nicobar Islands,Quality Interventions,2929.28164,28.8,2958.08164,41.08,2386.43307,16.7,2403.13307,38.58
2024-25,Andaman and Nicobar Islands,Program Management,342.58,0.0,342.58,4.76,296.5983,0.0,296.5983,4.76
2024-25,Andaman and Nicobar Islands,Monitoring of the Scheme,63.75535,0.0,63.75535,0.89,31.07908,0.0,31.07908,0.5
2024-25,Andaman and Nicobar Islands,Inclusive Education,198.391,0.0,198.391,2.76,126.66488,0.0,126.66488,2.03
2024-25,Andaman and Nicobar Islands,RTE Entitlements,235.947,0.0,235.947,3.28,235.947,0.0,235.947,3.79
2024-25,Andhra Pradesh,RTE Entitlements,33541.51735,0.0,33541.51735,9.27,31906.32456,0.0,31906.32456,12.49
2024-25,Andhra Pradesh,Total,302357.90169,59474.47592,361832.37761,100.0,239264.30748,16199.9468,255464.25428,100.0
2024-25,Andhra Pradesh,Teacher Education,3822.15,0.0,3822.15,1.06,2259.78,0.0,2259.78,0.88
2024-25,Andhra Pradesh,Sports & Physical Education,3739.05,0.0,3739.05,1.03,3739.05,0.0,3739.05,1.46
2024-25,Andhra Pradesh,Skill Education,10017.618,0.0,10017.618,2.77,9770.158,0.0,9770.158,3.82
2024-25,Andhra Pradesh,Quality Interventions,135597.27962,31477.4,167074.67962,46.17,81411.85982,2766.7,84178.55982,32.95
2024-25,Andhra Pradesh,Monitoring of the Scheme,305.52163,0.0,305.52163,0.08,303.79685,0.0,303.79685,0.12
2024-25,Andhra Pradesh,Inclusive Education,5976.4,0.0,5976.4,1.65,5934.95992,0.0,5934.95992,2.32
2024-25,Andhra Pradesh,Gender & Equity,47134.76888,3211.95,50346.71888,13.91,46375.92888,1677.15,48053.07888,18.81
2024-25,Andhra Pradesh,Financial Support for Teachers,42847.91471,0.0,42847.91471,11.84,42756.887,0.0,42756.887,16.74
2024-25,Andhra Pradesh,Access & Retention,2697.6385,24785.12592,27482.76442,7.6,2641.06645,11756.0968,14397.16325,5.64
2024-25,Andhra Pradesh,Program Management,16678.043,0.0,16678.043,4.61,12164.496,0.0,12164.496,4.76
2024-25,Assam,Financial Support for Teachers,55835.001,0.0,55835.001,16.79,55834.29,0.0,55834.29,19.07
2024-25,Assam,Teacher Education,5477.6711,2021.02,7498.6911,2.26,5468.0711,2021.02,7489.0911,2.56
2024-25,Assam,Sports & Physical Education,3346.4,0.0,3346.4,1.01,3346.4,0.0,3346.4,1.14
2024-25,Assam,Skill Education,16852.866,3336.84,20189.706,6.07,16555.7838,3336.6,19892.3838,6.79
2024-25,Assam,RTE Entitlements,43104.0965,0.0,43104.0965,12.96,43104.0965,0.0,43104.0965,14.72
2024-25,Assam,Quality Interventions,83302.11006,12889.335,96191.44506,28.93,80026.02947,11215.4,91241.42947,31.16
2024-25,Assam,Total,244165.8769,88367.031,332532.9079,100.0,237613.58025,55218.114,292831.69425,100.0
2024-25,Assam,Monitoring of the Scheme,471.19815,0.0,471.19815,0.14,358.8351,0.0,358.8351,0.12
2024-25,Assam,Inclusive Education,3782.6249,134.0,3916.6249,1.18,3454.20888,92.0,3546.20888,1.21
2024-25,Assam,Gender & Equity,15631.3992,61.25,15692.6492,4.72,14818.9454,61.25,14880.1954,5.08
2024-25,Assam,Access & Retention,2039.72,69924.586,71964.306,21.64,2036.92,38491.844,40528.764,13.84
2024-25,Assam,Program Management,14322.78999,0.0,14322.78999,4.31,12610.0,0.0,12610.0,4.31
2024-25,Bihar,Total,982999.20127,347408.308,1330407.50927,100.0,743815.5976,74650.227,818465.8246,100.0
2024-25,Bihar,Gender & Equity,52145.951,5501.308,57647.259,4.33,40272.306,3563.047,43835.353,5.36
2024-25,Bihar,Inclusive Education,5839.095,0.0,5839.095,0.44,5127.85,0.0,5127.85,0.63
2024-25,Bihar,Monitoring of the Scheme,1589.84455,0.0,1589.84455,0.12,1025.7179,0.0,1025.7179,0.13
2024-25,Bihar,Program Management,34327.7263,0.0,34327.7263,2.58,27591.7794,0.0,27591.7794,3.37
2024-25,Bihar,Quality Interventions,362210.55542,23722.2,385932.75542,29.01,202698.35508,760.0,203458.35508,24.86
2024-25,Bihar,RTE Entitlements,158361.9985,0.0,158361.9985,11.9,158361.9985,0.0,158361.9985,19.35
2024-25,Bihar,Skill Education,235.115,5.0,240.115,0.02,235.10892,0.0,235.10892,0.03
2024-25,Bihar,Sports & Physical Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,Bihar,Teacher Education,1697.4,9000.0,10697.4,0.8,1369.2,0.0,1369.2,0.17
2024-25,Bihar,Access & Retention,3314.3155,309179.8,312494.1155,23.49,760.5988,70327.18,71087.7788,8.69
2024-25,Bihar,Financial Support for Teachers,363277.2,0.0,363277.2,27.31,306372.683,0.0,306372.683,37.43
2024-25,Chandigarh,Skill Education,743.4,17.5,760.9,4.86,648.025,17.5,665.525,4.9
2024-25,Chandigarh,RTE Entitlements,976.45759,0.0,976.45759,6.24,856.49797,0.0,856.49797,6.3
2024-25,Chandigarh,Quality Interventions,1470.29817,219.2,1689.49817,10.8,1111.57602,214.2,1325.77602,9.75
2024-25,Chandigarh,Program Management,429.408,0.0,429.408,2.74,429.408,0.0,429.408,3.16
2024-25,Chandigarh,Monitoring of the Scheme,103.5155,0.0,103.5155,0.66,38.66865,0.0,38.66865,0.28
2024-25,Chandigarh,Inclusive Education,336.6328,0.0,336.6328,2.15,285.18243,0.0,285.18243,2.1
2024-25,Chandigarh,Gender & Equity,51.4584,0.0,51.4584,0.33,50.25,0.0,50.25,0.37
2024-25,Chandigarh,Financial Support for Teachers,11243.564,0.0,11243.564,71.86,9887.2,0.0,9887.2,72.74
2024-25,Chandigarh,Access & Retention,0.84,0.0,0.84,0.01,0.84,0.0,0.84,0.01
2024-25,Chandigarh,Sports & Physical Education,24.9,0.0,24.9,0.16,24.9,0.0,24.9,0.18
2024-25,Chandigarh,Teacher Education,30.00002,0.0,30.00002,0.19,27.7,0.0,27.7,0.2
2024-25,Chandigarh,Total,15410.47448,236.7,15647.17448,100.0,13360.24807,231.7,13591.94807,100.0
2024-25,Daman and Diu and Dadra and Nagar Haveli,Access & Retention,499.065,632.9703,1132.0353,10.26,393.24,538.40006,931.64006,10.45
2024-25,Daman and Diu and Dadra and Nagar Haveli,Sports & Physical Education,36.9,0.0,36.9,0.33,36.9,0.0,36.9,0.41
2024-25,Daman and Diu and Dadra and Nagar Haveli,Skill Education,430.78,36.0,466.78,4.23,319.2999,36.0,355.2999,3.99
2024-25,Daman and Diu and Dadra and Nagar Haveli,RTE Entitlements,640.214,0.0,640.214,5.8,628.80464,0.0,628.80464,7.06
2024-25,Daman and Diu and Dadra and Nagar Haveli,Quality Interventions,3502.2545,426.9,3929.1545,35.61,2852.85866,184.9,3037.75866,34.08
2024-25,Daman and Diu and Dadra and Nagar Haveli,Program Management,433.0,0.0,433.0,3.92,426.8505,0.0,426.8505,4.79
2024-25,Daman and Diu and Dadra and Nagar Haveli,Monitoring of the Scheme,66.99775,0.0,66.99775,0.61,35.04105,0.0,35.04105,0.39
2024-25,Daman and Diu and Dadra and Nagar Haveli,Inclusive Education,668.634,0.0,668.634,6.06,99.20499,0.0,99.20499,1.11
